symbol,code,name,change_date,total_shares
sh600582,600582,天地科技,2025-12-31,4138588891.9999995
sh600583,600583,海油工程,2025-12-31,4421354800.0
sh600584,600584,长电科技,2025-06-30,1789414570.0
sh600585,600585,海螺水泥,2025-12-31,5299302579.0
sh600586,600586,金晶科技,2025-11-05,1417337700.0
sh600587,600587,新华医疗,2026-02-24,606644549.0
sh600588,600588,用友网络,2025-09-04,3416997408.9999995
sh600589,600589,大位科技,2025-06-30,1484669890.0
sh600590,600590,泰豪科技,2025-06-30,852869750.0
sh600592,600592,龙溪股份,2025-06-30,399553571.0
sh600593,600593,大连圣亚,2025-10-30,130445000.0
sh600594,600594,益佰制药,2025-06-30,791927400.0
sh600595,600595,中孚实业,2025-07-11,4007905114.0
sh600596,600596,新安股份,2025-06-30,1349597049.0
sh600597,600597,光明乳业,2025-06-30,1378473763.0
sh600598,600598,北大荒,2025-12-31,1777679909.0
sh600600,600600,青岛啤酒,2025-12-31,1364195121.0
sh600601,600601,方正科技,2025-08-05,4273742886.9999995
sh600602,600602,云赛智联,2025-12-31,1367673455.0
sh600603,600603,广汇物流,2025-06-30,1193329151.0
sh600604,600604,市北高新,2025-06-30,1873304804.0
sh600605,600605,汇通能源,2025-12-31,206282429.0
sh600606,600606,绿地控股,2025-06-30,14054218314.0
sh600609,600609,金杯汽车,2025-06-30,1304558558.0
sh600610,600610,中毅达,2025-12-31,1071274605.0
sh600611,600611,大众交通,2025-06-30,2364122864.0
sh600612,600612,老凤祥,2025-06-30,523117764.0
sh600613,600613,神奇制药,2025-06-30,534071628.0
sh600615,600615,鑫源智造,2025-11-18,225624610.0
sh600616,600616,金枫酒业,2025-06-30,669004950.0
sh600617,600617,国新能源,2025-06-30,1929191776.0
sh600618,600618,氯碱化工,2025-06-30,1156399976.0
sh600619,600619,海立股份,2025-06-30,1073344406.0
sh600620,600620,天宸股份,2025-06-30,686677113.0
sh600621,600621,华鑫股份,2025-12-31,1060899292.0
sh600622,600622,光大嘉宝,2025-06-30,1499685402.0
sh600623,600623,华谊集团,2025-06-30,2122831280.0
sh600626,600626,申达股份,2025-06-30,1320744667.0
sh600628,600628,新世界,2025-06-30,646875384.0
sh600629,600629,华建集团,2025-06-30,970338659.0
sh600630,600630,龙头股份,2025-06-30,424861596.99999994
sh600633,600633,浙数文化,2025-06-30,1268074472.0
sh600635,600635,大众公用,2025-06-30,2952434675.0000005
sh600637,600637,东方明珠,2025-06-30,3361899817.0
sh600638,600638,新黄浦,2025-06-30,673396786.0
sh600639,600639,浦东金桥,2025-06-30,1122412893.0
sh600640,600640,国脉文化,2025-06-30,795695940.0
sh600641,600641,先导基电,2025-06-30,930629920.0
sh600642,600642,申能股份,2025-09-18,4894079376.0
sh600643,600643,爱建集团,2025-06-30,1593170778.0
sh600644,600644,乐山电力,2025-08-20,578320818.0
sh600645,600645,中源协和,2025-06-30,467948890.0
sh600648,600648,外高桥,2025-10-27,1359912218.0
sh600649,600649,城投控股,2025-12-31,2504500768.0
sh600650,600650,锦江在线,2025-06-30,551610107.0
sh600651,600651,飞乐音响,2025-12-31,2507028015.0
sh600653,600653,申华控股,2025-06-30,1946380317.0
sh600654,600654,中安科,2025-12-31,2877556831.0
sh600657,600657,信达地产,2025-06-30,2851878595.0
sh600658,600658,电子城,2025-06-30,1118585045.0
sh600660,600660,福耀玻璃,2025-12-31,2609743532.0
sh600661,600661,昂立教育,2025-06-30,286548830.0
sh600662,600662,外服控股,2025-11-07,2283457375.0
sh600663,600663,陆家嘴,2025-06-30,5035153679.0
sh600664,600664,哈药股份,2025-06-30,2518509876.0
sh600665,600665,天地源,2025-06-30,864122521.0
sh600666,600666,奥瑞德,2025-11-14,2751447394.0
