date,return_raw,return,holding,next_holding,signal_on,microcap_ret,microcap_mom,hedge_ret,hedge_mom,momentum_gap,entry_exit_cost,rebalance_cost,total_cost,return_net,nav_net
2015-06-26,0.0,0.0,cash,cash,False,-0.0787974518869946,-0.1270591256203921,-0.0806968076435995,-0.1829019405708872,0.0558428149504951,0.0,0.0,0.0,0.0,11.616818982429558
2015-06-29,0.0,0.0,cash,cash,False,-0.0704972557608787,-0.1801883962823346,-0.0703032627922339,-0.2378009106379707,0.057612514355636,0.0,0.0,0.0,0.0,11.616818982429558
2015-06-30,0.0,0.0,cash,cash,False,0.0415363385855849,-0.1611089550340325,0.0435932749192189,-0.2132125883552529,0.0521036333212203,0.0,0.0,0.0,0.0,11.616818982429558
2015-07-01,0.0,0.0,cash,cash,False,-0.0643203209377203,-0.2120811348535198,-0.0568872034983177,-0.2387081171057885,0.0266269822522686,0.0,0.0,0.0,0.0,11.616818982429558
2015-07-02,0.0,0.0,cash,cash,False,-0.0635456768849794,-0.2655120066656474,-0.0681618519080939,-0.2909260660006252,0.0254140593349777,0.0,0.0,0.0,0.0,11.616818982429558
2015-07-03,0.0,0.0,cash,cash,False,-0.0608353913317323,-0.3289210658834952,-0.0643478139159159,-0.3528659275706153,0.02394486168712,0.0,0.0,0.0,0.0,11.616818982429558
2015-07-06,0.0,0.0,cash,cash,False,-0.0532936670754199,-0.3831635492392132,-0.0534068190876325,-0.4001637226384126,0.0170001733991993,0.0,0.0,0.0,0.0,11.616818982429558
2015-07-07,0.0,0.0,cash,cash,False,-0.0628317279796392,-0.4346394260063437,-0.0567541605005582,-0.4431600243630359,0.0085205983566921,0.0,0.0,0.0,0.0,11.616818982429558
2015-07-08,0.0,0.0,cash,cash,False,-0.0279342256241611,-0.4451111030698526,-0.0289045287710936,-0.4482783941560181,0.0031672910861655,0.0,0.0,0.0,0.0,11.616818982429558
2015-07-09,0.0,0.0,cash,cash,False,0.0533849086257991,-0.3857820277990899,0.0288701846055259,-0.4079747727662736,0.0221927449671837,0.0,0.0,0.0,0.0,11.616818982429558
