date,A_1_100,B_101_200,C_201_300,D_301_400
2018-02-26,309374.8195829453,8075.214845990623,4611.770600992674,2150.520470871594
2018-02-27,312080.9774122804,8102.577006471557,4640.526289865189,2166.897145712746
2018-02-28,310961.3589835172,8093.976029863466,4622.671012371216,2168.606836528859
2018-03-01,316911.9500723589,8237.344990959664,4708.049114135885,2203.7033473448023
2018-03-02,315267.5803820369,8209.638846354208,4680.488717059396,2194.5132456647125
2018-03-05,318493.54101148836,8297.759646710869,4741.512496558763,2219.317432431805
2018-03-06,322193.72007077525,8406.358324341678,4800.603406973852,2242.880077329296
2018-03-07,321229.1094342571,8419.586362856222,4790.914174056158,2240.2628433981868
2018-03-08,327383.8335030769,8621.255037175575,4881.332587988709,2276.1724343783776
2018-03-09,334862.37248097063,8836.433980983797,4972.4929538329825,2325.0774699806734
2018-03-12,339833.207657666,9020.413487315958,5048.203003299554,2360.826487235815
2018-03-13,338084.88492211606,8994.640080077323,5025.738309947809,2356.497549702598
2018-03-14,333906.9642417287,8925.640427137783,4971.667934969942,2324.454160148425
2018-03-15,327024.8271967845,8720.536564375703,4876.3241293762185,2281.980618660456
2018-03-16,328712.5745656686,8788.418147815304,4910.546597787109,2296.778481236064
2018-03-19,333347.08264386916,8908.617131382998,4974.8664482417435,2320.87824573502
2018-03-20,337819.36945943034,9026.17218893955,5038.653961609695,2337.765271641685
2018-03-21,340431.48180529923,9006.73188451005,5026.689609845206,2329.626679768942
2018-03-22,344200.0620446451,9126.201169617252,5100.636488437017,2353.4411967256547
2018-03-23,322517.6746038651,8451.788658414005,4767.806565780106,2199.9664193540602
2018-03-26,327178.3177026637,8561.336179698214,4840.64540094037,2233.6387623966393
2018-03-27,339178.20038121985,8847.401070366679,5018.026670204896,2308.6770255258325
2018-03-28,341355.59521248424,8852.856031571386,5030.361137308421,2306.3726720163795
2018-03-29,347442.62157143373,9020.820976558289,5102.945079911301,2340.3267922830723
2018-03-30,354206.0553847605,9193.411765766075,5218.827322619754,2387.6175108452326
2018-04-02,356295.13869897893,9223.046749500212,5290.544084762109,2407.171445831117
2018-04-03,354767.63875237154,9177.23330579417,5283.24746555101,2384.265917559786
2018-04-04,355226.2155394905,9174.620694295027,5304.220983231829,2370.3351675743584
2018-04-09,355411.3095514237,9261.914747512294,5333.6664128052735,2397.198035700314
2018-04-10,354629.0672215086,9257.792094935057,5305.640603182561,2402.55808862343
2018-04-11,360361.45876298175,9441.940213136164,5387.778388792054,2430.1147089988954
2018-04-12,360633.3387435226,9449.833191353653,5342.946333754106,2416.6090950410367
2018-04-13,357826.21955432417,9375.181236943765,5314.994061923925,2411.0757436720837
2018-04-16,350589.28993645264,9213.888461339182,5225.394992081022,2380.0055458683764
2018-04-17,339791.2609437032,8950.738597904152,5102.998437698995,2322.661999333554
2018-04-18,344305.0097002688,9027.111184129471,5148.460085900808,2339.7302344305012
2018-04-19,344840.69328372064,9025.127986922116,5150.09267161355,2349.0598266453017
2018-04-20,333441.6088898801,8711.589049886437,4993.9398056703585,2263.25609120317
2018-04-23,331270.96420471196,8692.096305802823,4985.246196260259,2266.8888145416045
2018-04-24,341926.6932407386,8958.311964086004,5132.444519763677,2331.0328140064366
2018-04-25,347838.3421604103,9034.516706542263,5171.028856527965,2350.290194180811
2018-04-26,341878.18323353014,8754.785998485899,5051.326844893809,2288.0346404353104
2018-04-27,341525.5648886072,8759.984838231305,5082.8241513855955,2292.5860527038885
2018-05-02,335129.9237952481,8667.621675548035,5069.994352120673,2260.6804209545385
2018-05-03,340187.0548716811,8817.915386200522,5144.6918180235025,2295.6987239780806
2018-05-04,343361.1132797967,8852.271852823495,5160.5316354069,2298.993139795304
2018-05-07,350920.5318915908,9072.927976931407,5278.20425140544,2352.516624350383
2018-05-08,355946.0746174281,9192.599585710317,5352.793767931024,2381.537784026714
2018-05-09,359074.48635065526,9306.909878592298,5366.7657669975315,2397.662280362646
2018-05-10,362954.93288071104,9415.433659920296,5423.201883607981,2430.5789603688977
2018-05-11,356163.49491038016,9224.29352627068,5297.796503230745,2375.011574823293
2018-05-14,352934.7625343181,9161.446006539798,5232.1446729351965,2343.018800235095
2018-05-15,359276.62216498016,9336.099094094885,5338.718963633996,2385.2719572949586
2018-05-16,357133.9109990903,9205.36927232769,5275.098136836076,2372.3829975343765
2018-05-17,357698.172991988,9246.669176830032,5310.216981814401,2366.6720268666872
2018-05-18,360486.76053250436,9332.258187616728,5344.370650194309,2381.375798305165
2018-05-21,366068.2039118664,9486.723262971005,5441.728783926847,2422.645823073856
2018-05-22,368954.74684414244,9533.544749484608,5498.925692214842,2449.838491346205
2018-05-23,366627.3708159609,9411.727751948805,5430.4022072500675,2430.969090155448
2018-05-24,368189.4822026415,9430.210895635486,5450.062959979795,2434.871195836575
2018-05-25,366939.4096441789,9427.687119924192,5456.6599442033275,2417.232015689893
2018-05-28,362788.4125028385,9230.498921906037,5332.85911819865,2379.8223197268553
2018-05-29,361552.3026562708,9097.17863573671,5277.7610525841055,2340.60835972724
2018-05-30,339606.3425485305,8584.193373776336,4959.597963700509,2213.458801207699
2018-05-31,344728.5747591333,8786.447786181228,5078.895235956015,2232.662493942559
2018-06-01,341589.7462644004,8703.293877239357,5024.533156073923,2215.117966194324
2018-06-04,339628.58488678315,8680.229036071087,5030.408971148216,2226.398969198009
2018-06-05,344921.38842145907,8786.169701464558,5132.607867707654,2270.87115208522
2018-06-06,346626.2915446589,8832.999925811751,5163.539936719518,2278.436097037313
2018-06-07,342013.5119112428,8723.738529591132,5097.506356686433,2236.563914034612
2018-06-08,336548.2257231156,8588.118529194675,5032.44522885488,2209.0261660348324
2018-06-11,334577.95537523483,8553.346447102127,4988.149613246368,2194.7174831615275
